Customer ID,Age,Income Bracket,product code,Desription,Price,Decision
C10360,31,middle,PDT-12240,Xmass Gift Basket," 1,750.00 ",Purchased
C10471,20,upper,PDT-12241,Xmass Gift Basket," 1,750.00 ",Purchased
C10364,38,lower,PDT-12242,Xmass Gift Basket," 1,750.00 ",Declined
C10725,59,middle,PDT-12243,Xmass Gift Basket," 1,750.00 ",Purchased
C10143,62,upper,PDT-12244,Xmass Gift Basket," 1,750.00 ",Purchased
C10723,36,lower,PDT-12245,Xmass Gift Basket," 1,750.00 ",Declined
C10219,56,middle,PDT-12246,Xmass Gift Basket," 1,750.00 ",Purchased
C10379,18,middle,PDT-12247,Xmass Gift Basket," 1,750.00 ",Declined
C10563,23,upper,PDT-12248,Xmass Gift Basket," 1,750.00 ",Purchased
C10239,54,lower,PDT-12249,Xmass Gift Basket," 1,750.00 ",Declined
C10656,14,middle,PDT-12250,Xmass Gift Basket," 1,750.00 ",Declined
C10785,16,middle,PDT-12251,Xmass Gift Basket," 1,750.00 ",Declined
C10389,58,lower,PDT-12252,Xmass Gift Basket," 1,750.00 ",Declined
C10131,16,middle,PDT-12253,Xmass Gift Basket," 1,750.00 ",Declined
C10551,14,middle,PDT-12254,Xmass Gift Basket," 1,750.00 ",Declined
C10581,29,upper,PDT-12255,Xmass Gift Basket," 1,750.00 ",Purchased
C10371,17,middle,PDT-12256,Xmass Gift Basket," 1,750.00 ",Declined
C10334,67,middle,PDT-12257,Xmass Gift Basket," 1,750.00 ",Purchased
C10829,23,upper,PDT-12258,Xmass Gift Basket," 1,750.00 ",Purchased
C10154,35,lower,PDT-12259,Xmass Gift Basket," 1,750.00 ",Declined
C10546,42,middle,PDT-12260,Xmass Gift Basket," 1,750.00 ",Purchased
C10786,28,middle,PDT-12261,Xmass Gift Basket," 1,750.00 ",Purchased
C10742,19,middle,PDT-12262,Xmass Gift Basket," 1,750.00 ",Declined
C10531,18,middle,PDT-12263,Xmass Gift Basket," 1,750.00 ",Declined
C10262,19,middle,PDT-12264,Xmass Gift Basket," 1,750.00 ",Declined
C10260,33,upper,PDT-12265,Xmass Gift Basket," 1,750.00 ",Purchased
C10783,29,lower,PDT-12266,Xmass Gift Basket," 1,750.00 ",Declined
C10158,59,middle,PDT-12267,Xmass Gift Basket," 1,750.00 ",Purchased
C10777,58,middle,PDT-12268,Xmass Gift Basket," 1,750.00 ",Purchased
C10292,51,upper,PDT-12269,Xmass Gift Basket," 1,750.00 ",Purchased
C10142,37,lower,PDT-12270,Xmass Gift Basket," 1,750.00 ",Declined
C10241,31,middle,PDT-12271,Xmass Gift Basket," 1,750.00 ",Purchased
C10746,33,upper,PDT-12272,Xmass Gift Basket," 1,750.00 ",Purchased
C10848,44,lower,PDT-12273,Xmass Gift Basket," 1,750.00 ",Declined
C10109,57,middle,PDT-12274,Xmass Gift Basket," 1,750.00 ",Purchased
C10574,14,middle,PDT-12275,Xmass Gift Basket," 1,750.00 ",Declined
C10880,33,upper,PDT-12276,Xmass Gift Basket," 1,750.00 ",Purchased
C10887,66,lower,PDT-12277,Xmass Gift Basket," 1,750.00 ",Declined
C10570,41,middle,PDT-12278,Xmass Gift Basket," 1,750.00 ",Purchased
C10478,20,upper,PDT-12279,Xmass Gift Basket," 1,750.00 ",Purchased
C10488,31,lower,PDT-12280,Xmass Gift Basket," 1,750.00 ",Declined
C10651,33,middle,PDT-12281,Xmass Gift Basket," 1,750.00 ",Purchased
C10821,47,middle,PDT-12282,Xmass Gift Basket," 1,750.00 ",Purchased
C10137,32,upper,PDT-12283,Xmass Gift Basket," 1,750.00 ",Purchased
C10631,15,middle,PDT-12284,Xmass Gift Basket," 1,750.00 ",Declined
